Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Curtius Opellius,45,5,Rome,164,73,Secutor,17,3,Novice,Dagger,Medium,Standard,0.912196467,High,1.353758668,Adequate,Basic,Strong,20,Stoic,Fair,Glory,Entertainer,Medium,Aggressive,Medium,Humble,TRUE
Orbilius Modius,44,6,Greece,173,68,Thraex,15,0,Novice,Sica (Curved Sword),High,Superior,0.900184665,Low,4.723537136,Excellent,Basic,Strong,15,Calculative,Good,Survival,Laborer,Low,Aggressive,Low,Humble,TRUE
Hostilius Horatius,38,12,Rome,181,29,Hoplomachus,6,0,Novice,Dagger,Low,Basic,0.63689678,Low,1.411170217,Poor,Basic,Moderate,6,Stoic,Good,Freedom,Criminal,Low,Aggressive,Medium,Charismatic,TRUE
Blaesus Fulvius,34,16,Thrace,164,105,Thraex,8,1,Strength,Dagger,Medium,Standard,0.6798495,Low,4.448155656,Adequate,Advanced,Moderate,9,Calculative,Excellent,Survival,Laborer,Low,Balanced,Low,Humble,TRUE
Orestius Calpurnius,43,7,Gaul,180,94,Secutor,13,4,Novice,Gladius (Sword),Low,Basic,0.869613663,Low,8.65481924,Poor,Basic,Strong,17,Calculative,Good,Freedom,Unemployed,Medium,Balanced,High,Charismatic,TRUE
Lucius Acilius,27,23,Thrace,182,94,Secutor,5,2,Novice,Dagger,Medium,Standard,0.580157815,Low,7.242209354,Adequate,Intermediate,Moderate,7,Calculative,Excellent,Vengeance,Entertainer,Medium,Balanced,Medium,Charismatic,TRUE
Perperna Mucius,34,16,Germania,175,64,Murmillo,4,2,Novice,Gladius (Sword),Medium,Standard,0.455175922,Low,10.13794748,Adequate,Intermediate,Moderate,6,Fearful,Excellent,Vengeance,Laborer,Medium,Balanced,Medium,Intimidating,TRUE
Atilius Cinna,18,32,Rome,180,90,Provocator,4,1,Novice,Dagger,Medium,Standard,0.641343689,Low,7.281908725,Adequate,Basic,Moderate,5,Stoic,Excellent,Glory,Criminal,High,Balanced,Medium,Intimidating,TRUE
Cornelius Sulpicius,40,10,Thrace,171,85,Hoplomachus,9,1,Novice,Dagger,Low,Basic,0.7435661,Low,4.491617695,Poor,Basic,Strong,10,Calculative,Good,Freedom,Criminal,Medium,Balanced,High,Flamboyant,TRUE
Numonius Lucius,40,10,Thrace,179,95,Retiarius,17,8,Novice,Trident,Low,Basic,0.814607716,High,1.543803204,Poor,Intermediate,Strong,25,Aggressive,Fair,Survival,Entertainer,Low,Balanced,Medium,Charismatic,TRUE
Atilius Aulus,44,6,Gaul,172,90,Secutor,10,1,Novice,Gladius (Sword),Medium,Standard,0.803616706,Low,3.599972926,Adequate,Basic,Strong,11,Fearful,Good,Survival,Criminal,Low,Balanced,Low,Flamboyant,TRUE
Hordeonius Atilius,34,16,Germania,180,77,Retiarius,6,1,Strength,Trident,High,Superior,0.718144871,Low,4.098688773,Excellent,Advanced,Strong,7,Fearful,Excellent,Survival,Laborer,Low,Balanced,Medium,Intimidating,TRUE
Gnaeus Orestius,36,14,Gaul,179,83,Retiarius,6,1,Novice,Trident,High,Superior,0.603853292,Low,4.496623208,Excellent,Basic,Strong,7,Calculative,Excellent,Freedom,Entertainer,Low,Aggressive,Medium,Charismatic,TRUE
Paternus Livius,26,24,Germania,162,90,Secutor,9,2,Speed,Dagger,Medium,Standard,0.810372892,Low,7.351175941,Adequate,Expert,Strong,11,Calculative,Excellent,Freedom,Entertainer,Low,Balanced,High,Intimidating,TRUE
Iuventius Norbanus,29,21,Numidia,177,95,Hoplomachus,12,3,Endurance,Spear,Low,Basic,0.902513113,Low,5.716053227,Poor,Expert,Strong,15,Fearful,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Humble,TRUE
Modius Avidius,29,21,Gaul,169,84,Retiarius,5,1,Novice,Trident,High,Superior,0.639121449,Low,2.414065753,Excellent,Intermediate,Strong,6,Fearful,Excellent,Survival,Laborer,Medium,Balanced,High,Charismatic,FALSE
Fulcinia Fabrinius,30,20,Rome,189,85,Retiarius,6,1,Novice,Net,Medium,Standard,0.613337617,Low,5.981676911,Adequate,Basic,Moderate,7,Stoic,Excellent,Survival,Laborer,Medium,Balanced,Low,Humble,TRUE
Hordeonius Cosconius,37,13,Germania,176,88,Retiarius,4,1,Novice,Trident,Low,Basic,0.623509982,Low,3.601550193,Poor,Basic,Moderate,5,Stoic,Good,Survival,Entertainer,Medium,Aggressive,Low,Humble,TRUE
Pettius Lartius,23,27,Rome,169,85,Murmillo,1,0,Strength,Dagger,Medium,Standard,0.415816397,Low,7.306464944,Adequate,Advanced,Moderate,1,Aggressive,Excellent,Vengeance,Soldier,High,Aggressive,Medium,Intimidating,FALSE
Longinius Longinius,39,11,Greece,173,83,Murmillo,5,1,Strength,Gladius (Sword),High,Superior,0.596288971,Low,1.022847486,Excellent,Advanced,Strong,6,Calculative,Excellent,Freedom,Laborer,Low,Balanced,Medium,Intimidating,TRUE
Hordeonius Sempronius,40,10,Thrace,176,92,Thraex,10,2,Novice,Sica (Curved Sword),High,Superior,0.83224231,Low,2.426079059,Excellent,Basic,Strong,12,Fearful,Excellent,Survival,Unemployed,Low,Aggressive,Low,Humble,TRUE
Livius Granius,45,5,Greece,186,119,Murmillo,12,3,Novice,Gladius (Sword),Medium,Standard,0.952777537,Low,1.006527268,Adequate,Basic,Strong,15,Calculative,Good,Wealth,Entertainer,Medium,Balanced,Medium,Flamboyant,TRUE
Cilnius Ennius,44,6,Greece,176,75,Secutor,9,3,Novice,Dagger,Low,Basic,0.659987699,Low,3.125475828,Poor,Basic,Moderate,12,Stoic,Good,Freedom,Criminal,Medium,Balanced,Medium,Humble,TRUE
Aemilius Ostorius,33,17,Gaul,182,87,Secutor,9,3,Novice,Gladius (Sword),Low,Basic,0.634523614,Low,2.377535559,Poor,Intermediate,Moderate,12,Fearful,Excellent,Wealth,Unemployed,Medium,Balanced,Medium,Intimidating,TRUE
Naevius Herennius,25,25,Gaul,173,76,Murmillo,5,1,Novice,Gladius (Sword),Low,Basic,0.489522334,Low,8.977972494,Poor,Basic,Moderate,6,Calculative,Excellent,Glory,Unemployed,Medium,Aggressive,Medium,Charismatic,TRUE
Orchius Granius,18,32,Germania,185,71,Hoplomachus,8,2,Speed,Spear,Low,Basic,0.688270064,Low,10.29761857,Poor,Advanced,Moderate,10,Fearful,Excellent,Glory,Criminal,High,Defensive,Low,Intimidating,TRUE
Valerius Ennius,19,31,Numidia,173,82,Retiarius,6,1,Novice,Net,Medium,Standard,0.818821494,High,3.018672414,Adequate,Intermediate,Strong,7,Stoic,Excellent,Glory,Soldier,Medium,Balanced,High,Intimidating,TRUE
Cloelius Sulpicius,42,8,Greece,182,89,Secutor,9,2,Novice,Gladius (Sword),Low,Basic,0.755567647,High,1.736026312,Poor,Basic,Strong,11,Stoic,Fair,Survival,Criminal,Low,Aggressive,Low,Flamboyant,TRUE
Foslius Hostius,45,5,Thrace,169,84,Thraex,5,0,Novice,Sica (Curved Sword),Medium,Standard,0.645542942,Low,7.149266967,Adequate,Basic,Moderate,5,Aggressive,Good,Freedom,Entertainer,Low,Aggressive,Low,Charismatic,TRUE
Caninius Quintus,39,11,Germania,173,100,Secutor,9,1,Novice,Dagger,High,Superior,0.666577852,Low,3.487924127,Excellent,Intermediate,Strong,10,Calculative,Excellent,Survival,Laborer,Medium,Aggressive,High,Humble,TRUE
Genucius Mamilius,45,5,Numidia,166,87,Hoplomachus,12,6,Novice,Dagger,Low,Basic,0.739916125,High,2.878043425,Poor,Basic,Strong,18,Fearful,Fair,Survival,Unemployed,Medium,Aggressive,Medium,Humble,TRUE
Nasidienus Pedius,36,14,Gaul,182,77,Thraex,7,1,Strength,Sica (Curved Sword),Low,Basic,0.785268415,Low,6.689405284,Poor,Expert,Strong,8,Calculative,Excellent,Freedom,Laborer,Medium,Aggressive,High,Intimidating,TRUE
Nonius Lucius,42,8,Gaul,151,87,Hoplomachus,7,0,Novice,Spear,Low,Basic,0.813607902,Low,3.648472967,Poor,Basic,Strong,7,Stoic,Good,Vengeance,Unemployed,Medium,Balanced,Medium,Flamboyant,TRUE
Gaius Catilius,37,13,Germania,185,86,Hoplomachus,13,1,Novice,Dagger,Low,Basic,0.878842468,High,2.088990844,Poor,Basic,Strong,14,Aggressive,Fair,Wealth,Criminal,Medium,Balanced,High,Flamboyant,TRUE
Balbus Numitorius,23,27,Germania,191,80,Hoplomachus,8,3,Strength,Spear,High,Superior,0.719205002,Low,4.343004189,Excellent,Advanced,Strong,11,Stoic,Excellent,Freedom,Entertainer,High,Balanced,High,Humble,TRUE
Fulvius Marius,29,21,Numidia,179,102,Secutor,6,2,Agility,Dagger,High,Superior,0.617247504,Low,2.245753044,Excellent,Advanced,Strong,8,Calculative,Excellent,Freedom,Entertainer,Low,Balanced,Medium,Intimidating,TRUE
Memmius Cornelius,22,28,Gaul,179,67,Hoplomachus,4,0,Novice,Dagger,High,Superior,0.541483276,Low,8.267725556,Excellent,Intermediate,Strong,4,Stoic,Excellent,Glory,Laborer,High,Balanced,High,Charismatic,TRUE
Cicereius Gnaeus,25,25,Rome,171,58,Retiarius,6,2,Novice,Trident,Medium,Standard,0.56333198,Low,3.325212354,Adequate,Intermediate,Moderate,8,Aggressive,Excellent,Survival,Entertainer,Medium,Balanced,Medium,Charismatic,TRUE
Gaius Perperna,19,31,Greece,184,84,Retiarius,4,1,Novice,Trident,Low,Basic,0.662433703,Low,8.790829581,Poor,Intermediate,Moderate,5,Aggressive,Excellent,Wealth,Laborer,Medium,Balanced,Medium,Charismatic,FALSE
Flavius Matienus,35,15,Germania,187,83,Murmillo,8,1,Novice,Gladius (Sword),Medium,Standard,0.75083734,Low,5.823513437,Adequate,Intermediate,Strong,9,Stoic,Excellent,Glory,Criminal,Low,Balanced,High,Humble,TRUE
Opellius Camillius,42,8,Rome,166,66,Hoplomachus,11,2,Novice,Dagger,High,Superior,0.810579015,Low,8.232938803,Excellent,Basic,Strong,13,Stoic,Excellent,Wealth,Unemployed,Medium,Balanced,High,Charismatic,TRUE
Manius Balbus,34,16,Germania,173,96,Hoplomachus,5,1,Novice,Spear,High,Superior,0.587579893,High,3.053774182,Excellent,Basic,Strong,6,Calculative,Good,Vengeance,Laborer,Medium,Aggressive,High,Intimidating,TRUE
Latinius Minicius,21,29,Germania,170,104,Murmillo,6,1,Novice,Gladius (Sword),High,Superior,0.683687494,Low,5.590766778,Excellent,Basic,Strong,7,Fearful,Excellent,Wealth,Laborer,Medium,Balanced,High,Charismatic,TRUE
Cilnius Julius,41,9,Numidia,171,72,Murmillo,12,1,Novice,Dagger,High,Superior,0.927635123,Low,1.639208231,Excellent,Intermediate,Strong,13,Stoic,Good,Survival,Entertainer,Medium,Balanced,High,Humble,TRUE
Menenius Murena,27,23,Numidia,187,71,Retiarius,10,1,Speed,Trident,High,Superior,0.792645979,Low,4.798035357,Excellent,Advanced,Strong,11,Stoic,Excellent,Vengeance,Criminal,Medium,Aggressive,Low,Intimidating,TRUE
Munatius Gaius,23,27,Rome,184,84,Hoplomachus,3,1,Endurance,Spear,High,Superior,0.478642721,Low,5.537185952,Excellent,Advanced,Strong,4,Stoic,Excellent,Freedom,Laborer,High,Aggressive,High,Humble,FALSE
Ollius Modius,19,31,Thrace,161,97,Provocator,7,3,Novice,Gladius (Sword),Low,Basic,0.57376359,Low,4.043453916,Poor,Basic,Moderate,10,Calculative,Excellent,Vengeance,Soldier,Medium,Aggressive,Medium,Intimidating,TRUE
Ollius Aemilius,34,16,Thrace,174,65,Provocator,6,3,Novice,Dagger,Medium,Standard,0.596308615,Low,4.029174632,Adequate,Intermediate,Moderate,9,Stoic,Excellent,Survival,Laborer,Medium,Balanced,Medium,Intimidating,TRUE
Petreius Valerius,32,18,Greece,170,83,Thraex,6,0,Novice,Sica (Curved Sword),Medium,Standard,0.775536258,Low,4.678398825,Adequate,Basic,Strong,6,Aggressive,Excellent,Freedom,Entertainer,Low,Balanced,High,Charismatic,TRUE
Nasidienus Appius,24,26,Gaul,175,89,Secutor,10,2,Strength,Gladius (Sword),Low,Basic,0.799990517,Low,5.006894493,Poor,Advanced,Strong,12,Calculative,Excellent,Glory,Criminal,Medium,Defensive,High,Humble,TRUE
Matienus Appius,31,19,Thrace,167,93,Thraex,2,0,Novice,Sica (Curved Sword),High,Superior,0.533498649,Low,10.23664125,Excellent,Basic,Strong,2,Stoic,Excellent,Vengeance,Entertainer,Low,Aggressive,Medium,Intimidating,FALSE
Fulcinia Cosconius,39,11,Thrace,182,76,Thraex,8,2,Novice,Dagger,Low,Basic,0.667811011,Low,6.528815457,Poor,Basic,Moderate,10,Calculative,Good,Glory,Entertainer,Medium,Balanced,Medium,Intimidating,TRUE
Octavius Spurius,37,13,Greece,172,94,Murmillo,13,4,Novice,Gladius (Sword),Low,Basic,0.776894398,High,1.042887876,Poor,Basic,Strong,17,Stoic,Fair,Vengeance,Laborer,Medium,Aggressive,Medium,Humble,TRUE
Acilius Hostius,34,16,Greece,171,40,Secutor,8,2,Novice,Dagger,High,Superior,0.589540012,Low,1.958370804,Excellent,Basic,Strong,10,Calculative,Excellent,Vengeance,Unemployed,Low,Aggressive,Medium,Intimidating,TRUE
Octavius Livius,41,9,Rome,200,78,Hoplomachus,8,4,Novice,Spear,Medium,Standard,0.632872704,Low,3.260847718,Adequate,Basic,Moderate,12,Calculative,Good,Wealth,Unemployed,Medium,Aggressive,Low,Intimidating,TRUE
Cordius Galerius,44,6,Thrace,189,103,Thraex,12,2,Novice,Sica (Curved Sword),Low,Basic,0.988403428,Low,2.667123749,Poor,Basic,Strong,14,Calculative,Good,Glory,Unemployed,Low,Balanced,High,Humble,TRUE
Horatius Persius,21,29,Numidia,184,87,Retiarius,5,1,Endurance,Net,Medium,Standard,0.657135986,Low,6.180736553,Adequate,Advanced,Moderate,6,Stoic,Excellent,Wealth,Laborer,High,Aggressive,Medium,Intimidating,TRUE
Mescinius Domitius,24,26,Numidia,177,86,Thraex,7,3,Endurance,Dagger,Low,Basic,0.55937969,Low,5.583234358,Poor,Expert,Moderate,10,Calculative,Excellent,Vengeance,Laborer,Medium,Balanced,Medium,Charismatic,TRUE
Cordius Octavenus,19,31,Rome,188,64,Retiarius,5,1,Novice,Net,Low,Basic,0.615475329,Low,7.358864227,Poor,Basic,Moderate,6,Aggressive,Excellent,Glory,Laborer,High,Aggressive,Medium,Intimidating,TRUE
Gnaeus Cicereius,18,32,Rome,161,86,Secutor,6,1,Novice,Dagger,Medium,Standard,0.724983589,Low,6.745365802,Adequate,Basic,Strong,7,Calculative,Excellent,Glory,Soldier,Medium,Balanced,High,Humble,TRUE
Fabrinius Norbanus,44,6,Gaul,179,71,Provocator,8,1,Novice,Gladius (Sword),Medium,Standard,0.727578084,Low,4.759024281,Adequate,Basic,Strong,9,Stoic,Good,Glory,Laborer,Medium,Aggressive,Medium,Flamboyant,TRUE
Atilius Fidenas,26,24,Numidia,172,71,Murmillo,8,1,Novice,Dagger,Medium,Standard,0.667608784,Low,6.281411781,Adequate,Intermediate,Moderate,9,Stoic,Excellent,Wealth,Laborer,Medium,Aggressive,Medium,Humble,TRUE
Hostius Junius,33,17,Thrace,185,72,Secutor,9,5,Novice,Dagger,High,Superior,0.654129929,Low,6.491068504,Excellent,Basic,Strong,14,Calculative,Excellent,Wealth,Unemployed,Low,Balanced,Medium,Charismatic,TRUE
Orbilius Festinius,34,16,Thrace,179,91,Murmillo,6,1,Novice,Gladius (Sword),High,Superior,0.606091976,Low,3.451835709,Excellent,Intermediate,Strong,7,Stoic,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Charismatic,TRUE
Gabinius Spurius,22,28,Germania,162,75,Murmillo,4,1,Novice,Gladius (Sword),High,Superior,0.578584462,Low,2.868350247,Excellent,Intermediate,Strong,5,Aggressive,Excellent,Glory,Soldier,High,Aggressive,High,Humble,TRUE
Papirius Camillius,43,7,Gaul,179,108,Thraex,9,3,Novice,Sica (Curved Sword),Low,Basic,0.670655262,Low,3.308252189,Poor,Basic,Moderate,12,Fearful,Good,Vengeance,Laborer,Medium,Balanced,Medium,Charismatic,TRUE
Persius Cloelius,32,18,Numidia,188,70,Provocator,6,2,Novice,Dagger,Medium,Standard,0.625044863,Low,5.014131702,Adequate,Intermediate,Moderate,8,Calculative,Excellent,Survival,Criminal,Medium,Aggressive,Medium,Charismatic,TRUE
Petilius Cosconius,44,6,Gaul,155,104,Secutor,12,5,Novice,Gladius (Sword),Low,Basic,0.795060193,High,4.732229972,Poor,Basic,Strong,17,Calculative,Fair,Freedom,Unemployed,Medium,Aggressive,High,Flamboyant,TRUE
Atilius Sextius,26,24,Gaul,174,99,Thraex,6,1,Novice,Sica (Curved Sword),High,Superior,0.689484731,Low,9.922163783,Excellent,Intermediate,Strong,7,Fearful,Excellent,Glory,Unemployed,Medium,Aggressive,Low,Charismatic,TRUE
Sextus Ofilius,29,21,Greece,166,87,Hoplomachus,8,3,Agility,Dagger,High,Superior,0.719994401,Low,4.091589371,Excellent,Advanced,Strong,11,Calculative,Excellent,Wealth,Unemployed,Medium,Aggressive,Medium,Intimidating,TRUE
Blossius Titus,45,5,Thrace,186,98,Secutor,10,2,Novice,Gladius (Sword),High,Superior,0.807163465,Low,3.06730727,Excellent,Basic,Strong,12,Calculative,Good,Vengeance,Entertainer,Medium,Balanced,High,Flamboyant,TRUE
Percennius Acilius,37,13,Thrace,159,78,Secutor,10,3,Novice,Dagger,High,Superior,0.731122708,Low,1.520812595,Excellent,Intermediate,Strong,13,Stoic,Excellent,Freedom,Unemployed,Medium,Aggressive,High,Humble,TRUE
Nasidienus Naevius,38,12,Germania,174,80,Thraex,15,8,Novice,Dagger,Medium,Standard,0.67536123,High,3.144790399,Adequate,Intermediate,Moderate,23,Calculative,Fair,Wealth,Laborer,Medium,Balanced,Medium,Humble,TRUE
Afranius Musonius,37,13,Rome,152,112,Secutor,14,3,Speed,Gladius (Sword),Low,Basic,0.972682433,Low,7.262422678,Poor,Advanced,Strong,17,Stoic,Good,Wealth,Entertainer,Low,Balanced,High,Charismatic,TRUE
Lartius Sulpicius,32,18,Numidia,189,49,Retiarius,8,1,Novice,Trident,Low,Basic,0.729013166,High,0.947014757,Poor,Basic,Strong,9,Stoic,Good,Glory,Criminal,Medium,Balanced,Medium,Humble,FALSE
Caelius Mescinius,18,32,Gaul,181,68,Retiarius,4,2,Novice,Trident,Medium,Standard,0.587016643,High,6.18911504,Adequate,Basic,Moderate,6,Stoic,Excellent,Wealth,Entertainer,High,Balanced,Low,Intimidating,TRUE
Fabius Catilius,37,13,Greece,190,75,Retiarius,3,1,Novice,Net,Medium,Standard,0.510600214,Low,0.999918928,Adequate,Intermediate,Moderate,4,Aggressive,Good,Survival,Unemployed,Medium,Balanced,Medium,Humble,TRUE
Sextius Gaius,28,22,Germania,171,71,Provocator,9,1,Strength,Gladius (Sword),High,Superior,0.769575382,Low,1.3149211,Excellent,Advanced,Strong,10,Aggressive,Excellent,Survival,Entertainer,Low,Balanced,High,Humble,TRUE
Quintus Catius,22,28,Rome,184,64,Retiarius,2,0,Endurance,Trident,High,Superior,0.451916899,Low,6.437435854,Excellent,Advanced,Strong,2,Calculative,Excellent,Wealth,Criminal,Medium,Aggressive,Medium,Intimidating,FALSE
Manius Coruncanius,27,23,Greece,186,75,Secutor,7,2,Novice,Gladius (Sword),Medium,Standard,0.595926578,Low,8.086888796,Adequate,Intermediate,Moderate,9,Aggressive,Excellent,Wealth,Unemployed,Medium,Balanced,Low,Humble,TRUE
Gracchus Fannius,38,12,Gaul,178,60,Hoplomachus,8,2,Novice,Dagger,Medium,Standard,0.754615833,Low,3.176180626,Adequate,Intermediate,Strong,10,Aggressive,Good,Glory,Laborer,Low,Balanced,High,Intimidating,TRUE
Volumnius Messalla,45,5,Gaul,169,56,Thraex,16,4,Novice,Dagger,High,Superior,0.870048951,High,3.533478701,Excellent,Basic,Strong,20,Stoic,Fair,Freedom,Unemployed,Medium,Balanced,Low,Charismatic,TRUE
Numonius Numerius,44,6,Thrace,185,54,Retiarius,13,4,Novice,Trident,Low,Basic,0.87675986,High,3.527899353,Poor,Basic,Strong,17,Fearful,Fair,Survival,Laborer,Medium,Balanced,Medium,Flamboyant,TRUE
Laecanius Caninius,21,29,Thrace,166,93,Murmillo,3,1,Novice,Gladius (Sword),Medium,Standard,0.502366862,Low,3.891918349,Adequate,Intermediate,Moderate,4,Stoic,Excellent,Glory,Unemployed,Medium,Aggressive,Low,Humble,FALSE
Burrienus Fulcinia,36,14,Numidia,175,112,Retiarius,16,7,Agility,Net,Low,Basic,0.766564081,High,4.45680455,Poor,Advanced,Strong,23,Stoic,Good,Wealth,Criminal,Medium,Aggressive,Medium,Charismatic,TRUE
Minicius Maecilius,31,19,Greece,168,74,Murmillo,3,0,Novice,Dagger,Low,Basic,0.466695359,Low,6.200540675,Poor,Intermediate,Moderate,3,Calculative,Excellent,Glory,Laborer,Low,Balanced,Medium,Charismatic,TRUE
Matienus Maecenas,32,18,Numidia,177,59,Murmillo,7,1,Novice,Dagger,Medium,Standard,0.686022163,Low,3.605752828,Adequate,Basic,Moderate,8,Stoic,Excellent,Vengeance,Laborer,Low,Balanced,Medium,Intimidating,TRUE
Blossius Calventius,37,13,Thrace,175,97,Thraex,12,1,Novice,Dagger,High,Superior,0.823254819,Low,1.03539196,Excellent,Intermediate,Strong,13,Calculative,Excellent,Survival,Unemployed,Low,Balanced,Medium,Intimidating,TRUE
Orbilius Petreius,20,30,Thrace,168,90,Murmillo,2,0,Novice,Gladius (Sword),High,Superior,0.398885131,Low,5.972018833,Excellent,Intermediate,Strong,2,Fearful,Excellent,Glory,Laborer,Medium,Aggressive,Medium,Intimidating,FALSE
Lamponius Opimius,30,20,Rome,181,83,Murmillo,7,2,Novice,Gladius (Sword),Medium,Standard,0.680590926,Low,5.946675042,Adequate,Intermediate,Moderate,9,Calculative,Excellent,Freedom,Entertainer,Low,Balanced,Medium,Charismatic,TRUE
Volumnius Cestius,19,31,Numidia,177,97,Hoplomachus,7,2,Novice,Spear,High,Superior,0.65826129,Low,9.260155439,Excellent,Intermediate,Strong,9,Stoic,Excellent,Glory,Unemployed,High,Aggressive,High,Humble,TRUE
Pinarus Appius,22,28,Gaul,162,84,Hoplomachus,4,1,Tactics,Spear,Medium,Standard,0.561615665,Low,7.85452655,Adequate,Expert,Moderate,5,Stoic,Excellent,Survival,Soldier,High,Balanced,Medium,Humble,TRUE
Fabius Fundanus,28,22,Gaul,178,81,Thraex,5,1,Novice,Sica (Curved Sword),High,Superior,0.542517933,Low,5.164173246,Excellent,Intermediate,Strong,6,Aggressive,Excellent,Survival,Laborer,Low,Balanced,Medium,Intimidating,FALSE
Paelignus Numerius,33,17,Numidia,159,114,Secutor,3,1,Novice,Gladius (Sword),Low,Basic,0.513279967,Low,4.660318345,Poor,Intermediate,Moderate,4,Aggressive,Excellent,Glory,Unemployed,Medium,Balanced,Medium,Humble,TRUE
Octavenus Numitorius,22,28,Numidia,176,92,Hoplomachus,4,0,Novice,Spear,Low,Basic,0.600367656,Low,4.577330236,Poor,Intermediate,Moderate,4,Stoic,Excellent,Survival,Criminal,Medium,Aggressive,Medium,Intimidating,FALSE
Blossius Publius,24,26,Greece,172,69,Secutor,6,0,Novice,Dagger,High,Superior,0.796410729,Low,7.67948387,Excellent,Intermediate,Strong,6,Aggressive,Excellent,Freedom,Laborer,High,Balanced,Medium,Humble,TRUE
Aulus Pilus,20,30,Thrace,197,96,Retiarius,5,1,Endurance,Net,Low,Basic,0.557169904,Low,5.510914055,Poor,Expert,Moderate,6,Fearful,Excellent,Vengeance,Soldier,Low,Balanced,Low,Charismatic,TRUE
Memmius Gracchus,24,26,Gaul,162,71,Thraex,6,2,Tactics,Sica (Curved Sword),Low,Basic,0.571207096,Low,4.362862624,Poor,Advanced,Moderate,8,Aggressive,Excellent,Survival,Laborer,Medium,Aggressive,Medium,Humble,TRUE
Lacerius Latinius,43,7,Greece,179,79,Retiarius,6,1,Novice,Net,Low,Basic,0.622423858,Low,5.133303042,Poor,Basic,Moderate,7,Fearful,Good,Survival,Unemployed,Medium,Balanced,Medium,Charismatic,TRUE
Tarquinius Laecanius,42,8,Rome,184,67,Secutor,10,0,Novice,Dagger,Low,Basic,0.997816119,Low,3.499267696,Poor,Basic,Strong,10,Fearful,Good,Survival,Entertainer,Medium,Balanced,Medium,Humble,TRUE
Nasidius Numicius,22,28,Rome,178,78,Thraex,8,1,Novice,Sica (Curved Sword),Medium,Standard,0.729232368,Low,7.720069308,Adequate,Intermediate,Strong,9,Stoic,Excellent,Survival,Laborer,Medium,Balanced,Medium,Humble,TRUE
Lollius Mamilius,44,6,Germania,166,76,Retiarius,10,0,Novice,Net,Medium,Standard,1.030219004,Low,5.476838232,Adequate,Basic,Strong,10,Stoic,Good,Survival,Laborer,Medium,Balanced,Medium,Intimidating,TRUE
Lucius Galerius,26,24,Germania,171,71,Provocator,13,4,Speed,Gladius (Sword),High,Superior,0.92296903,Low,5.498385458,Excellent,Advanced,Strong,17,Stoic,Excellent,Survival,Laborer,Medium,Defensive,High,Humble,TRUE
Hirrus Appius,21,29,Numidia,166,76,Secutor,8,0,Speed,Dagger,Low,Basic,0.758390025,High,3.106516593,Poor,Advanced,Strong,8,Stoic,Excellent,Wealth,Unemployed,High,Defensive,Medium,Humble,TRUE
Catilius Laberius,41,9,Thrace,169,67,Provocator,10,3,Novice,Gladius (Sword),Medium,Standard,0.765111728,Low,1.03863593,Adequate,Basic,Strong,13,Stoic,Good,Wealth,Criminal,Low,Aggressive,Medium,Humble,TRUE
Granius Galerius,31,19,Numidia,169,62,Provocator,8,0,Novice,Dagger,Low,Basic,0.919686621,Low,7.44282828,Poor,Intermediate,Strong,8,Stoic,Excellent,Wealth,Laborer,Medium,Balanced,Low,Humble,TRUE
Galerius Numerius,32,18,Rome,172,94,Secutor,5,0,Endurance,Dagger,Low,Basic,0.585206918,Low,4.70115191,Poor,Expert,Moderate,5,Stoic,Excellent,Glory,Criminal,Medium,Balanced,Medium,Charismatic,TRUE
Caninius Tiberius,23,27,Greece,164,73,Retiarius,8,2,Speed,Net,Medium,Standard,0.693283817,High,3.897274302,Adequate,Advanced,Moderate,10,Calculative,Excellent,Vengeance,Laborer,Medium,Aggressive,Medium,Charismatic,TRUE
Pinarus Opimius,28,22,Gaul,189,90,Retiarius,4,1,Novice,Net,Low,Basic,0.488880612,Low,7.556104455,Poor,Intermediate,Moderate,5,Aggressive,Excellent,Glory,Unemployed,Low,Balanced,Medium,Charismatic,FALSE
Perperna Mallius,43,7,Numidia,165,97,Provocator,13,1,Novice,Dagger,Medium,Standard,0.881750433,High,0.945517529,Adequate,Intermediate,Strong,14,Fearful,Fair,Freedom,Criminal,Medium,Balanced,High,Humble,TRUE
Lollius Matinius,32,18,Greece,189,66,Hoplomachus,7,4,Novice,Dagger,High,Superior,0.543658517,Low,5.414301335,Excellent,Intermediate,Strong,11,Calculative,Excellent,Glory,Laborer,Medium,Balanced,Medium,Charismatic,TRUE
Quintus Antonius,39,11,Gaul,177,66,Thraex,9,3,Novice,Sica (Curved Sword),High,Superior,0.854780792,High,1.06218782,Excellent,Basic,Strong,12,Calculative,Good,Freedom,Criminal,Medium,Aggressive,Medium,Humble,TRUE
